index,company_name
ADD,"Color Star Technology Co., Ltd."
AMC,"AMC Entertainment Holdings, Inc."
AMCX,AMC Networks Inc.
ANGI,Angi Inc.
AREN,"The Arena Group Holdings, Inc."
ATHM,Autohome Inc.
BIDU,"Baidu, Inc."
BKNG,Booking Holdings Inc.
CCL,Carnival Corporation & plc
CMCM,Cheetah Mobile Inc.
CNK,"Cinemark Holdings, Inc."
CNVS,Cineverse Corp.
DIS,The Walt Disney Company
DLPN,"Dolphin Entertainment, Inc."
EXPE,"Expedia Group, Inc."
FENG,Phoenix New Media Limited
FWONA,Formula One Group
GAIA,"Gaia, Inc."
GNUS,"Genius Brands International, Inc."
GOOGL,Alphabet Inc.
GRPN,"Groupon, Inc."
IAC,IAC Inc.
IMAX,IMAX Corporation
IZEA,"IZEA Worldwide, Inc."
LIND,"Lindblad Expeditions Holdings, Inc."
LOV,Spark Networks SE
LTRPA,"Liberty TripAdvisor Holdings, Inc."
LYV,"Live Nation Entertainment, Inc."
MANU,Manchester United plc
MCS,The Marcus Corporation
META,"Meta Platforms, Inc."
MMYT,MakeMyTrip Limited
MOMO,Hello Group Inc.
MSGS,Madison Square Garden Sports Corp.
MTCH,"Match Group, Inc."
NCLH,Norwegian Cruise Line Holdings Ltd.
NFLX,"Netflix, Inc."
NWSA,News Corporation
NXST,"Nexstar Media Group, Inc."
PARA,Paramount Global
PERI,Perion Network Ltd.
PLAY,"Dave & Buster's Entertainment, Inc."
RCL,Royal Caribbean Cruises Ltd.
RDI,"Reading International, Inc."
SABR,Sabre Corporation
SBGI,"Sinclair Broadcast Group, Inc."
SCOR,"comScore, Inc."
SIRI,Sirius XM Holdings Inc.
SSTK,"Shutterstock, Inc."
TCOM,Trip.com Group Limited
TNL,Travel + Leisure Co.
TOUR,Tuniu Corporation
TRIP,"Tripadvisor, Inc."
TRUE,"TrueCar, Inc."
TTGT,"TechTarget, Inc."
WB,Weibo Corporation
WBD,"Warner Bros. Discovery, Inc."
WWE,"World Wrestling Entertainment, Inc."
YELP,Yelp Inc.
YY,JOYY Inc.
Z,"Zillow Group, Inc."
