symbol,company_name,market_cap,percent_change,volume,revenue
NFLX,"Netflix, Inc.",188.49B,0.36%,"4,531,764",31.91B
DIS,The Walt Disney Company,160.99B,-0.44%,"13,504,612",86.98B
WBD,"Warner Bros. Discovery, Inc.",28.72B,-2.48%,"18,967,297",41.36B
LYV,"Live Nation Entertainment, Inc.",20.18B,-1.17%,"2,647,037",18.01B
FWONA,Formula One Group,17.40B,-1.41%,"144,329",12.15B
FOXA,Fox Corporation,16.02B,-0.70%,"3,175,785",14.91B
SIRI,Sirius XM Holdings Inc.,14.82B,2.13%,"14,009,455",8.96B
WMG,Warner Music Group Corp.,13.45B,-1.03%,"821,300",5.82B
NWSA,News Corporation,10.78B,-0.42%,"2,228,586",10.12B
PARA,Paramount Global,10.06B,-1.22%,"6,848,134",30.09B
ROKU,"Roku, Inc.",8.81B,-0.95%,"6,531,831",3.13B
WWE,"World Wrestling Entertainment, Inc.",7.51B,-0.64%,"432,845",1.26B
EDR,"Endeavor Group Holdings, Inc.",6.67B,-0.09%,"835,869",5.39B
NXST,"Nexstar Media Group, Inc.",5.67B,-1.05%,"527,291",5.26B
IQ,"iQIYI, Inc.",4.78B,-2.53%,"6,668,988",4.38B
MSGS,Madison Square Garden Sports Corp.,4.28B,-0.64%,"383,869",935.73M
MANU,Manchester United plc,3.68B,-2.08%,"1,432,398",701.59M
AMC,"AMC Entertainment Holdings, Inc.",3.56B,-3.84%,"14,036,361",4.08B
BATRK,The Liberty Braves Group,2.07B,-1.18%,"190,248",596.00M
CNK,"Cinemark Holdings, Inc.",1.97B,-0.37%,"2,278,006",2.60B
BOWL,Bowlero Corp.,1.96B,-0.85%,"2,689,401",1.09B
LGF.A,Lions Gate Entertainment Corp.,1.92B,-2.02%,"2,432,798",3.85B
PLAY,"Dave & Buster's Entertainment, Inc.",1.83B,0.90%,"1,067,709",2.11B
MSGE,Madison Square Garden Entertainment Corp.,1.67B,-2.85%,"5,603,774",-
SPHR,Sphere Entertainment Co.,955.69M,0.40%,"412,951",1.86B
IMAX,IMAX Corporation,942.22M,0.35%,"1,300,331",327.72M
HUYA,HUYA Inc.,856.45M,-6.79%,"928,793",1.27B
SBGI,"Sinclair Broadcast Group, Inc.",801.03M,-0.95%,"2,071,741",3.41B
AMCX,AMC Networks Inc.,462.45M,-0.65%,"465,281",3.10B
MCS,The Marcus Corporation,461.16M,-1.36%,"218,177",697.43M
RSVR,"Reservoir Media, Inc.",390.46M,0.67%,"647,549",122.29M
LVO,"LiveOne, Inc.",137.62M,5.33%,"281,203",97.50M
GNUS,"Genius Brands International, Inc.",104.06M,8.36%,"757,961",75.05M
RDI,"Reading International, Inc.",94.38M,1.53%,"21,444",208.72M
HOFV,Hall of Fame Resort & Entertainment Company,60.08M,7.54%,"30,148",16.99M
GAIA,"Gaia, Inc.",50.93M,-0.81%,"9,157",79.85M
MMV,MultiMetaVerse Holdings Limited,41.64M,-5.26%,"123,644",12.23M
AGAE,Allied Gaming & Entertainment Inc.,40.02M,-2.73%,"53,799",5.13M
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",34.42M,0.90%,"182,045",333.20M
ANGH,Anghami Inc.,30.95M,5.31%,"3,792",48.48M
DLPN,"Dolphin Entertainment, Inc.",26.32M,1.60%,"24,433",41.22M
BREA,Brera Holdings PLC,25.09M,1.38%,"23,157",172.77K
KUKE,Kuke Music Holding Limited,20.74M,11.31%,"6,077",16.52M
CNVS,Cineverse Corp.,18.78M,-9.09%,"156,179",72.33M
CPOP,"Pop Culture Group Co., Ltd",11.65M,-4.12%,"34,028",23.39M
ADD,"Color Star Technology Co., Ltd.",11.48M,-4.76%,"19,691",7.09M
